Saturday/Sobota,14.05.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,15.05.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,16.05.16,"7,07","33,7",6 200,,9 000,,#N/D,147,"2,45","195,00",265,15,,9
Tuesday/Wtorek,17.05.16,"7,07","33,5",5 000,,7 000,,#N/D,49,"0,82",,,18,,7
Wednesday/Środa,18.05.16,"7,04","34,8",5 800,178,7 500,,#N/D,36,"0,60",,24,20,4,7
Thursday/Czwartek,19.05.16,"7,10","35,1",6 200,235,,,#N/D,58,"0,97",,,20,,8
Friday/Piątek,20.05.16,"7,23","35,0",5 900,1 565,7 000,,#N/D,36,"0,60",,,19,,7
Saturday/Sobota,21.05.16,,"35,5",,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,22.05.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,23.05.16,"7,08","36,0",5 500,,7 500,,#N/D,22,"0,37",,,25,,7
Tuesday/Wtorek,24.05.16,"7,06","35,9",5 300,,7 000,,#N/D,17,"0,28",,302,24,,8
Wednesday/Środa,25.05.16,"7,01",,5 400,158,7 000,,#N/D,53,"0,88","270,00",,24,8,7
Thursday/Czwartek,26.05.16,"7,04",,5 000,,6 500,,#N/D,46,"0,77",,257,23,,8
Friday/Piątek,27.05.16,"7,01",,5 000,,6 500,,#N/D,54,"0,90",,,22,,8
Saturday/Sobota,28.05.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,29.05.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,30.05.16,"6,98","36,3",3 900,148,4 000,,#N/D,42,"0,70",,,23,,10
Tuesday/Wtorek,31.05.16,"6,98","36,0",5 000,,5 500,,#N/D,39,"0,65","200,00",256,23,,
Wednesday/Środa,01.06.16,"7,11","36,0",3 800,,5 568,2 942,"0,53",94,"1,57",,,22,8,7
Thursday/Czwartek,02.06.16,"7,09","35,7",4 600,,,,#N/D,159,"2,65",,,24,,8
Friday/Piątek,03.06.16,,,,,,,#N/D,,#N/D,,,,,
Saturday/Sobota,04.06.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,05.06.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,06.06.16,"7,05","34,9",4 300,,5 000,,#N/D,209,"3,48",,,32,,10
Tuesday/Wtorek,07.06.16,"7,16","35,7",4 200,,4 500,,#N/D,193,"3,21",,220,33,,10
Wednesday/Środa,08.06.16,"7,19","35,7",4 100,476,4 500,,#N/D,194,"3,23",285,,32,,9
Thursday/Czwartek,09.06.16,"7,00","35,4",4 200,,4 500,,#N/D,291,"4,85",250,213,29,9,9
Friday/Piątek,10.06.16,,,4 200,,5 000,,#N/D,326,"5,43",,,,,8
Saturday/Sobota,11.06.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,12.06.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,13.06.16,"7,11","36,1",4 400,,4 500,,#N/D,416,"6,93",,,28,,12
Tuesday/Wtorek,14.06.16,"7,20","35,6",4 000,,4 500,,#N/D,292,"4,86","285,00",219,29,,10
Wednesday/Środa,15.06.16,"7,10","37,1",4 500,,4 500,,#N/D,233,"3,88",,,26,10,10
Thursday/Czwartek,16.06.16,"7,12","36,1",4 100,,4 500,,#N/D,208,"3,46","240,00",216,24,,9
Friday/Piątek,17.06.16,"7,05","35,6",4 000,,4 500,,#N/D,180,"3,00",,,0,,9
Saturday/Sobota,18.06.16,"7,06","35,9",,,,,,,,,,,,
Sunday/Niedziela,19.06.16,"7,16","37,1",,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,20.06.16,"7,21","38,0",,,3 982,2 432,"0,61",,#N/D,,,,,
Tuesday/Wtorek,21.06.16,"7,28","37,5",,,,,#N/D,,#N/D,,,,,
Wednesday/Środa,22.06.16,"7,23","36,8",3 600,,4 000,,#REF!,50,"0,83",,195,20,17,10
Thursday/Czwartek,23.06.16,"7,77","35,9",3 000,,3 000,,#N/D,96,"1,60",,,28,10,10
Friday/Piątek,24.06.16,"7,22","35,6",4200,,4500,,#N/D,270,"4,50",,217,30,11,8
Saturday/Sobota,25.06.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,26.06.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,27.06.16,"7,07","34,9",4 600,480,8 000,,#N/D,452,"7,53",,189,31,12,10
Tuesday/Wtorek,28.06.16,"7,21","34,9",3 900,,3 500,,#N/D,373,"6,21",,,30,,10
Wednesday/Środa,29.06.16,"7,14","35,0",5 300,,4 000,,#N/D,272,"4,53",,,26,,10
Thursday/Czwartek,30.06.16,"7,19","35,3",4 700,,4 500,,#N/D,158,"2,63","215,00",208,21,,8
Friday/Piątek,01.07.16,,,,,,,#N/D,,#N/D,,,,,
Saturday/Sobota,02.07.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,03.07.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,04.07.16,,,,,,,#N/D,,#N/D,,,,,
Tuesday/Wtorek,05.07.16,,,,,,,#N/D,,#N/D,,,,,
Wednesday/Środa,06.07.16,"7,07","34,3",4 100,126,5 500,,#N/D,29,"0,48",,250,41,,11
Thursday/Czwartek,07.07.16,"7,05","37,5",3 600,,4 000,,#N/D,57,"0,95",,,36,12,11
Friday/Piątek,08.07.16,"7,11","35,2",3 700,,4 000,,#N/D,78,"1,30","205,00",231,37,,11
Saturday/Sobota,09.07.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,10.07.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,11.07.16,,,,,,,#N/D,,#N/D,,,,,
Tuesday/Wtorek,12.07.16,"7,07","35,1",4 100,,5 000,,#N/D,90,"1,50",,208,44,,12
Wednesday/Środa,13.07.16,"7,06","34,9",4 400,,4 000,,#N/D,89,"1,48",,,42,12,11
Thursday/Czwartek,14.07.16,"7,12","34,7",4 500,,4 500,,#N/D,155,"2,58","205,00",248,37,,12
Friday/Piątek,15.07.16,"7,06","34,5",4 400,,4 000,,#N/D,121,"2,01",,,32,,10
Saturday/Sobota,16.07.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,17.07.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,18.07.16,"7,05","35,0",3 800,,5 000,,#N/D,67,"1,12",,,30,,11
Tuesday/Wtorek,19.07.16,"7,05","34,8",4 100,,4 000,,#N/D,86,"1,43",,213,32,,12
Wednesday/Środa,20.07.16,"6,94","34,7",4 100,,3 500,,#N/D,186,"3,10",,,31,,11
Thursday/Czwartek,21.07.16,"6,97","34,7",4 000,,3 500,,#N/D,223,"3,71",,175,26,8,7
Friday/Piątek,22.07.16,"6,86","34,9",4 600,,4 000,,#N/D,403,"6,71",,,36,,12
Saturday/Sobota,23.07.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,24.07.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,25.07.16,"6,94","35,1",1 200,,3 500,,#N/D,600,"9,99",,,40,,11
Tuesday/Wtorek,26.07.16,"7,10","35,6",3 900,,,,#N/D,499,"8,31",,214,40,6,14
Wednesday/Środa,27.07.16,"7,07","35,6",2 800,,2 424,1 684,"0,69",342,"5,69",,,42,,14
Thursday/Czwartek,28.07.16,"7,23","35,7",4 000,,,,#N/D,291,"4,85","145,00",198,42,,14
Friday/Piątek,29.07.16,"7,23","35,4",4 100,,2 754,1 980,"0,72",247,"4,11",,,43,,12
Saturday/Sobota,30.07.16,"7,33","35,3",,,3 500,,#N/D,218,"3,63",,,,,
Sunday/Niedziela,31.07.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,01.08.16,"7,22",,3 800,,4 000,,#N/D,197,"3,28",,222,41,,12
Tuesday/Wtorek,02.08.16,"7,24","35,0",3 500,,3 500,,#N/D,109,"1,81",,,40,,11
Wednesday/Środa,03.08.16,"7,08","34,8",3 800,,4 500,,#N/D,111,"1,85",,102,,11,9
Thursday/Czwartek,04.08.16,"7,07","35,0",4 100,,4 000,,#N/D,114,"1,90","165,00",,,,9
Friday/Piątek,05.08.16,,,,,,,#N/D,,#N/D,,,,,
Saturday/Sobota,06.08.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,07.08.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,08.08.16,"7,27",,3 700,,3 500,,#N/D,29,"0,48","175,00",,,,6
Tuesday/Wtorek,09.08.16,"7,12","35,4",2 730,,4 000,,#N/D,47,"0,78",,,,,
Wednesday/Środa,10.08.16,"7,21",,3 700,,4 404,2 778,"0,63",53,"0,88",,,,,
Thursday/Czwartek,11.08.16,"7,35",,4 200,,5 000,,#N/D,4,"0,07",,,,,
Friday/Piątek,12.08.16,"7,28",,3 400,,3 000,,#N/D,44,"0,73",,,,,
Saturday/Sobota,13.08.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,14.08.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,15.08.16,,,,,,,#N/D,,#N/D,,,,,
Tuesday/Wtorek,16.08.16,"7,22","35,6",5 100,,5 000,,#N/D,50,"0,83","150,00",,15,,6
Wednesday/Środa,17.08.16,"7,20","35,6",3 800,257,3 250,,#N/D,79,"1,32",,177,15,7,7
Thursday/Czwartek,18.08.16,"7,26","35,5",4 000,,3 500,,#N/D,105,"1,75",,,15,,6
Friday/Piątek,19.08.16,"7,24","35,5",5 000,,5 000,,#N/D,141,"2,35","100,00",,11,,5
Saturday/Sobota,20.08.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,21.08.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,22.08.16,"7,27",,4 900,,5 000,,#N/D,62,"1,03","220,00",,8,,5
Tuesday/Wtorek,23.08.16,"7,32",,4 600,,5 430,,#N/D,50,"0,83",,56,6,,4
Wednesday/Środa,24.08.16,"7,30",,4 200,,4 500,,#N/D,125,"2,08",,,6,5,5
Thursday/Czwartek,25.08.16,"7,23",,4 200,,4 500,,#N/D,61,"1,02",,211,5,,4
Friday/Piątek,26.08.16,"7,33",,4 300,,5 000,,#N/D,82,"1,37","110,00",,6,,4
Saturday/Sobota,27.08.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,28.08.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,29.08.16,"7,33",,4 900,"130,00",5 500,,#N/D,42,"0,70",,,18,,6
Tuesday/Wtorek,30.08.16,"7,15","34,9",4 900,,5 000,,#N/D,86,"1,43",,246,21,,7
Wednesday/Środa,31.08.16,"7,14",,4 900,,4 000,,#N/D,134,"2,23",,,17,8,7
Thursday/Czwartek,01.09.16,,,,,,,#N/D,,#N/D,,,,,
Friday/Piątek,02.09.16,"7,16",,4 500,,5 000,,#N/D,190,"3,16",,,17,,8
Saturday/Sobota,03.09.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,04.09.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,05.09.16,"7,32",,4 800,,4 500,,#N/D,61,"1,02",,,25,,10
Tuesday/Wtorek,06.09.16,"7,19",,4 000,,4 000,,#N/D,71,"1,18","215,00",226,30,,9
Wednesday/Środa,07.09.16,"7,06",,4 800,,3 000,,#N/D,272,"4,53",,,27,11,0
Thursday/Czwartek,08.09.16,"7,05",,5 300,,5 500,,#N/D,413,"6,88","175,00",268,28,,12
